FCT_ID;FCT_Label;FCT_Version;LIN_ID;LIN_Label;LIN_Version;WKA_ID;WKA_Label;WKA_Version;CTRL_ID;CTRL_Name;CTRL_IPAddress;CTRL_Type;CTRL_Version;TU_ID;TU_Name;TU_Number;TU_Comment;PS_ID;PS_Number;PS_TorqueUnit;PS_Comment;PS_Version;STEP_ID;STEP_Number;STEP_Type;STEP_TorqueTarget;STEP_TorqueMinTolerance;STEP_TorqueMaxTolerance;STEP_AbortTorque;STEP_AngleThreshold;STEP_AngleTarget;STEP_AngleMinTolerance;STEP_AngleMaxTolerance;STEP_AbortAngle;STEP_TorqueRateTarget;STEP_TorqueRateMinTolerance;STEP_TorqueRateMaxTolerance;Tool_ID;TOOL_Number;TOOL_SerialNumber;TOOL_Comment;RES_ID;RES_ResultNumber;RES_StepNumber;RES_RecordType;RES_ResultTypeId;RES_ControllerSerialNumber;RES_CableSerialNumber;RES_Report;RES_VIN;RES_CycleOKCount;RES_DateTime;RES_Time;RES_ErrorCode;RES_StopSource;RES_TorqueAccuracy;RES_FinalTorque;RES_TorqueTrend;RES_FinalAngle;RES_AngleTrend;RES_FinalTorqueRate;RES_TorqueRateTrend;RES_MinCurrent;RES_MaxCurrent;RES_FinalCurrent;RES_FinalCurrent_Percent;RES_MinCurrent_Percent;RES_MaxCurrent_Percent;RES_CurrentTrend;RES_SecondTransducerMode;RES_SecondFinalTorque;RES_SecondFinalAngle;RES_SecondTransducer_TorqueDev;RES_SecondTransducer_AngleDev
777697;SAN FERNANDO DE HENARES;0;952890;PREMONTAJES;0;975603;BANDEJAS Y PREMONTAJES MECANICOS;0;081123;SFH PREMONTAJES;192.168.7.212;15;0;8112363;TU63-EIBS7-1;63;;81123638;8;0;INV-3.X-BANDEJAS-2;0;811236381;1;21;2;1.7999999523162842;2.200000047683716;0;0.6000000238418579;0;10;2000;0;0;0;0;81123693;63;23A31835;UserComment;119212;119212;1;0;1;08112300531;0;OK;0;11;2025-06-17 03:44:41 +2;0;0;6;3;2.009178400039673;3;26.731185913085938;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
777697;SAN FERNANDO DE HENARES;0;952890;PREMONTAJES;0;975603;BANDEJAS Y PREMONTAJES MECANICOS;0;081123;SFH PREMONTAJES;192.168.7.212;15;0;8112351;TU51-EABC-1;51;;811235122;22;0;INV-3.X-A-3-fijaciones trafos;0;112351221;1;21;3;2.5999999046325684;3.4000000953674316;0;1.5;0;15;999;0;0;0;0;811235151;51;19I65157;UserComment;237923;237923;1;0;1;08112300531;0;OK;0;12;2025-06-17 03:44:45 +2;0;0;6;2;2.9787254333496094;3;301.4194641113281;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
777697;SAN FERNANDO DE HENARES;0;952890;PREMONTAJES;0;975603;BANDEJAS Y PREMONTAJES MECANICOS;0;081123;SFH PREMONTAJES;192.168.7.212;15;0;8112363;TU63-EIBS7-1;63;;81123638;8;0;INV-3.X-BANDEJAS-2;0;811236381;1;21;2;1.7999999523162842;2.200000047683716;0;0.6000000238418579;0;10;2000;0;0;0;0;81123693;63;23A31835;UserComment;119213;119213;1;0;1;08112300531;0;OK;0;12;2025-06-17 03:44:46 +2;0;0;6;3;2.0042173862457275;3;36.15803146362305;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
777697;SAN FERNANDO DE HENARES;0;952890;PREMONTAJES;0;975603;BANDEJAS Y PREMONTAJES MECANICOS;0;081123;SFH PREMONTAJES;192.168.7.212;15;0;8112363;TU63-EIBS7-1;63;;81123636;6;0;INV-3.X-BANDEJAS-1.5;0;811236361;1;21;1.5;1.2999999523162842;1.7000000476837158;0;0.44999998807907104;0;10;2000;0;0;0;0;81123693;63;23A31835;UserComment;119214;119214;1;0;1;08112300531;0;OK;0;1;2025-06-17 03:45:38 +2;0;0;6;3;1.5130850076675415;3;65.5956802368164;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
777697;SAN FERNANDO DE HENARES;0;952890;PREMONTAJES;0;975603;BANDEJAS Y PREMONTAJES MECANICOS;0;081123;SFH PREMONTAJES;192.168.7.212;15;0;8112363;TU63-EIBS7-1;63;;81123636;6;0;INV-3.X-BANDEJAS-1.5;0;811236361;1;21;1.5;1.2999999523162842;1.7000000476837158;0;0.44999998807907104;0;10;2000;0;0;0;0;81123693;63;23A31835;UserComment;119215;119215;1;0;1;08112300531;0;OK;0;2;2025-06-17 03:45:42 +2;0;0;6;3;1.5031630992889404;3;77.34327697753906;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
777697;SAN FERNANDO DE HENARES;0;952890;PREMONTAJES;0;975603;BANDEJAS Y PREMONTAJES MECANICOS;0;081123;SFH PREMONTAJES;192.168.7.212;15;0;8112363;TU63-EIBS7-1;63;;81123636;6;0;INV-3.X-BANDEJAS-1.5;0;811236361;1;21;1.5;1.2999999523162842;1.7000000476837158;0;0.44999998807907104;0;10;2000;0;0;0;0;81123693;63;23A31835;UserComment;119216;119216;1;0;1;08112300531;0;OK;0;3;2025-06-17 03:45:45 +2;0;0;6;3;1.4982022047042847;3;68.8316650390625;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
777697;SAN FERNANDO DE HENARES;0;952890;PREMONTAJES;0;975603;BANDEJAS Y PREMONTAJES MECANICOS;0;081123;SFH PREMONTAJES;192.168.7.212;15;0;8112363;TU63-EIBS7-1;63;;81123636;6;0;INV-3.X-BANDEJAS-1.5;0;811236361;1;21;1.5;1.2999999523162842;1.7000000476837158;0;0.44999998807907104;0;10;2000;0;0;0;0;81123693;63;23A31835;UserComment;119217;119217;1;0;1;08112300531;0;OK;0;4;2025-06-17 03:45:53 +2;0;0;6;3;1.4982022047042847;3;80.55311584472656;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
777697;SAN FERNANDO DE HENARES;0;952890;PREMONTAJES;0;975603;BANDEJAS Y PREMONTAJES MECANICOS;0;081123;SFH PREMONTAJES;192.168.7.212;15;0;8112363;TU63-EIBS7-1;63;;81123636;6;0;INV-3.X-BANDEJAS-1.5;0;811236361;1;21;1.5;1.2999999523162842;1.7000000476837158;0;0.44999998807907104;0;10;2000;0;0;0;0;81123693;63;23A31835;UserComment;119218;119218;1;0;1;08112300531;0;OK;0;5;2025-06-17 03:45:58 +2;0;0;6;3;1.5130850076675415;3;73.74774169921875;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
777697;SAN FERNANDO DE HENARES;0;952890;PREMONTAJES;0;975603;BANDEJAS Y PREMONTAJES MECANICOS;0;081123;SFH PREMONTAJES;192.168.7.212;15;0;8112363;TU63-EIBS7-1;63;;81123636;6;0;INV-3.X-BANDEJAS-1.5;0;811236361;1;21;1.5;1.2999999523162842;1.7000000476837158;0;0.44999998807907104;0;10;2000;0;0;0;0;81123693;63;23A31835;UserComment;119219;119219;1;0;1;08112300531;0;OK;0;6;2025-06-17 03:46:01 +2;0;0;6;3;1.5081239938735962;3;82.6385269165039;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
777697;SAN FERNANDO DE HENARES;0;952890;PREMONTAJES;0;975603;BANDEJAS Y PREMONTAJES MECANICOS;0;081123;SFH PREMONTAJES;192.168.7.212;15;0;8112363;TU63-EIBS7-1;63;;81123636;6;0;INV-3.X-BANDEJAS-1.5;0;811236361;1;21;1.5;1.2999999523162842;1.7000000476837158;0;0.44999998807907104;0;10;2000;0;0;0;0;81123693;63;23A31835;UserComment;119220;119220;1;0;1;08112300531;0;OK;0;7;2025-06-17 03:46:46 +2;0;0;6;3;1.4982022047042847;3;222.7402801513672;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
